FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
09/11/2022 12:00:00 AM,68,SANTANDER,68385,LANDAZURI,1,4
09/12/2022 12:00:00 AM,8,ATLANTICO,8001,BARRANQUILLA,1,6
09/19/2022 12:00:00 AM,50,META,50577,PUERTO LLERAS,1,4
09/28/2022 12:00:00 AM,86,PUTUMAYO,86569,PUERTO CAICEDO,1,3
10/02/2022 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
10/04/2022 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1,5
10/08/2022 12:00:00 AM,66,RISARALDA,66383,LA CELIA,1,3
10/09/2022 12:00:00 AM,19,CAUCA,19622,ROSAS,1,3
10/18/2022 12:00:00 AM,70,SUCRE,70713,SAN ONOFRE,1,3
10/30/2022 12:00:00 AM,76,VALLE DEL CAUCA,76147,CARTAGO,1,4
11/18/2022 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
11/19/2022 12:00:00 AM,86,PUTUMAYO,86571,PUERTO GUZMAN,1,18
11/20/2022 12:00:00 AM,19,CAUCA,19130,CAJIBIO,1,3
11/21/2022 12:00:00 AM,86,PUTUMAYO,86568,PUERTO ASIS,1,4
11/26/2022 12:00:00 AM,91,AMAZONAS,91001,LETICIA,1,4
12/02/2022 12:00:00 AM,19,CAUCA,19050,ARGELIA,1,3
12/06/2022 12:00:00 AM,19,CAUCA,19110,BUENOS AIRES,1,6
12/07/2022 12:00:00 AM,18,CAQUETA,18785,SOLITA,1,3
12/13/2022 12:00:00 AM,50,META,50568,PUERTO GAITAN,1,3
12/13/2022 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,5
01/01/2023 12:00:00 AM,20,CESAR,20614,RIO DE ORO,1,4
01/08/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
01/13/2023 12:00:00 AM,44,LA GUAJIRA,44001,RIOHACHA,1,3
01/13/2023 12:00:00 AM,52,NARIÑO,52356,IPIALES,1,3
01/15/2023 12:00:00 AM,76,VALLE DEL CAUCA,76400,LA UNION,1,3
01/17/2023 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,3
01/19/2023 12:00:00 AM,5,ANTIOQUIA,5615,RIONEGRO,1,3
01/26/2023 12:00:00 AM,47,MAGDALENA,47245,EL BANCO,1,3
01/28/2023 12:00:00 AM,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,1,3
01/28/2023 12:00:00 AM,23,CORDOBA,23678,SAN CARLOS,1,3
01/29/2023 12:00:00 AM,8,ATLANTICO,8001,BARRANQUILLA,1,4
01/30/2023 12:00:00 AM,5,ANTIOQUIA,5134,CAMPAMENTO,1,4
02/03/2023 12:00:00 AM,47,MAGDALENA,47189,CIENAGA,1,4
02/07/2023 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
02/10/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
02/14/2023 12:00:00 AM,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,1,3
02/19/2023 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
02/19/2023 12:00:00 AM,73,TOLIMA,73268,ESPINAL,1,3
