FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2023/01/01,20,CESAR,20614,RIO DE ORO,1,4
2023/01/08,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2023/01/13,44,LA GUAJIRA,44001,RIOHACHA,1,3
2023/01/13,52,NARIÑO,52356,IPIALES,1,3
2023/01/15,76,VALLE DEL CAUCA,76400,LA UNION,1,3
2023/01/17,86,PUTUMAYO,86320,ORITO,1,3
2023/01/19,5,ANTIOQUIA,5615,RIONEGRO,1,3
2023/01/26,47,MAGDALENA,47245,EL BANCO,1,3
2023/01/28,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,1,3
2023/01/28,23,CORDOBA,23678,SAN CARLOS,1,3
2023/01/29,8,ATLANTICO,8001,BARRANQUILLA,1,4
2023/01/30,5,ANTIOQUIA,5134,CAMPAMENTO,1,4
2023/02/03,47,MAGDALENA,47189,CIENAGA,1,4
2023/02/07,8,ATLANTICO,8758,SOLEDAD,1,3
2023/02/10,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2023/02/14,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,1,3
2023/02/19,8,ATLANTICO,8758,SOLEDAD,1,3
2023/02/19,73,TOLIMA,73268,ESPINAL,1,3
2023/02/21,54,NORTE DE SANTANDER,54405,LOS PATIOS,1,4
2023/02/25,76,VALLE DEL CAUCA,76147,CARTAGO,1,4
2023/02/27,15,BOYACA,15293,GACHANTIVA,1,3
2023/03/12,50,META,50568,PUERTO GAITAN,1,3
2023/03/14,8,ATLANTICO,8758,SOLEDAD,1,3
2023/03/19,8,ATLANTICO,8001,BARRANQUILLA,1,5
2023/03/20,19,CAUCA,19075,BALBOA,1,3
2023/03/23,52,NARIÑO,52256,EL ROSARIO,1,4
2023/03/29,54,NORTE DE SANTANDER,54245,EL CARMEN,1,10
2023/04/01,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
2023/04/03,50,META,50568,PUERTO GAITAN,1,3
2023/04/11,19,CAUCA,19256,EL TAMBO,1,3
2023/04/15,27,CHOCO,27600,RIO QUITO,1,4
2023/04/15,44,LA GUAJIRA,44090,DIBULLA,1,4
2023/04/15,47,MAGDALENA,47460,NUEVA GRANADA,1,3
2023/04/29,41,HUILA,41298,GARZON,1,3
2023/04/29,18,CAQUETA,18001,FLORENCIA,1,3
2023/05/05,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,3
2023/05/20,70,SUCRE,70001,SINCELEJO,1,3
2023/05/21,44,LA GUAJIRA,44001,RIOHACHA,1,3
2023/05/21,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
